candidate,gamma,seed,outer_fold,alpha_brier,beta_brier,beta_effective,ipcw_brier_raw,ipcw_brier_candidate,delta_ipcw_brier,citl_raw,citl_candidate,abs_citl_error_deterioration,slope_raw,slope_candidate,abs_slope_error_deterioration,n_evaluable,events_evaluable
brier_full_shrinkage_g0.10,0.1,43,3,-0.1449432322590532,0.8113630157150538,0.9811363015715053,0.08354755796747913,0.083814280214301,0.0002667222468218655,-0.48007631097718256,-0.49225802489744913,0.012181713920266568,1.6262916504884242,1.6594627616832602,0.03317111119483607,100,12
brier_full_shrinkage_g0.25,0.25,43,3,-0.1449432322590532,0.8113630157150538,0.9528407539287634,0.08354755796747913,0.08424229667883146,0.0006947387113523246,-0.48007631097718256,-0.510749087666392,0.03067277668920948,1.6262916504884242,1.706019604402856,0.07972795391443177,100,12
brier_full_shrinkage_g0.50,0.5,43,3,-0.1449432322590532,0.8113630157150538,0.9056815078575269,0.08354755796747913,0.08503517039643659,0.0014876124289574522,-0.48007631097718256,-0.5421628170344303,0.06208650605724769,1.6262916504884242,1.7946058106702099,0.1683141601817857,100,12
brier_full_shrinkage_g0.75,0.75,43,3,-0.1449432322590532,0.8113630157150538,0.8585222617862903,0.08354755796747913,0.08593623516506481,0.0023886771975856758,-0.48007631097718256,-0.5743496201709407,0.09427330919375815,1.6262916504884242,1.8972668691004535,0.27097521861202933,100,12
brier_full_shrinkage_g1.00,1.0,43,3,-0.1449432322590532,0.8113630157150538,0.8113630157150538,0.08354755796747913,0.08695658639595732,0.003409028428478192,-0.48007631097718256,-0.6073348603552057,0.1272585493780231,1.6262916504884242,2.0037240158692993,0.3774323653808751,100,12
brier_full_shrinkage_g0.10,0.1,43,4,0.3044799190134152,1.1792715883554252,1.0179271588355425,0.1520642973910393,0.15242373590653743,0.0003594385154981339,0.1989039092234626,0.19740745433833753,-0.0014964548851250647,0.1437943920143698,0.14129380847437967,0.0025005835399901644,97,18
brier_full_shrinkage_g0.25,0.25,43,4,0.3044799190134152,1.1792715883554252,1.0448178970888562,0.1520642973910393,0.15297492090677828,0.0009106235157389786,0.1989039092234626,0.195021759353388,-0.003882149870074597,0.1437943920143698,0.13767031689445802,0.006124075119911865,97,18
brier_full_shrinkage_g0.50,0.5,43,4,0.3044799190134152,1.1792715883554252,1.0896357941777126,0.1520642973910393,0.15392484519921584,0.0018605478081765436,0.1989039092234626,0.19067906859777808,-0.008224840625684515,0.1437943920143698,0.13204060611722104,0.011753785897148816,97,18
brier_full_shrinkage_g0.75,0.75,43,4,0.3044799190134152,1.1792715883554252,1.134453691266569,0.1520642973910393,0.1549124668747325,0.002848169483693208,0.1989039092234626,0.1858934406608944,-0.013010468562568211,0.1437943920143698,0.12682433615711253,0.016970055857257305,97,18
brier_full_shrinkage_g1.00,1.0,43,4,0.3044799190134152,1.1792715883554252,1.1792715883554252,0.1520642973910393,0.15593600810780428,0.003871710716764981,0.1989039092234626,0.18068211249469734,-0.018221796728765255,0.1437943920143698,0.12200279334153298,0.021791598672836865,97,18
brier_full_shrinkage_g0.10,0.1,71,0,-0.38679851223395695,0.75,0.975,0.12355195368744488,0.12375645995576136,0.00020450626831647334,0.16019264653014692,0.15753091996712257,-0.0026617265630243525,1.5616491834840525,1.6016788169824598,0.04002963349840738,98,18
brier_full_shrinkage_g0.25,0.25,71,0,-0.38679851223395695,0.75,0.9375,0.12355195368744488,0.12408016826481547,0.000528214577370581,0.16019264653014692,0.15331802780090173,-0.006874618729245191,1.5616491834840525,1.6657369818085064,0.10408779832445392,98,18
brier_full_shrinkage_g0.50,0.5,71,0,-0.38679851223395695,0.75,0.875,0.12355195368744488,0.12466519365962175,0.0011132399721768688,0.16019264653014692,0.14569053310294805,-0.01450211342719887,1.5616491834840525,1.7848960028895275,0.22324681940547508,98,18
brier_full_shrinkage_g0.75,0.75,71,0,-0.38679851223395695,0.75,0.8125,0.12355195368744488,0.12530757902518658,0.0017556253377416925,0.16019264653014692,0.13727592367119815,-0.022916722858948774,1.5616491834840525,1.922319058310749,0.36066987482669655,98,18
brier_full_shrinkage_g1.00,1.0,71,0,-0.38679851223395695,0.75,0.75,0.12355195368744488,0.12600785689434021,0.0024559032068953296,0.16019264653014692,0.1280391704498252,-0.03215347608032171,1.5616491834840525,2.0824072599970287,0.5207580765129762,98,18
brier_full_shrinkage_g0.10,0.1,71,1,0.06554849320132548,1.0278869786817677,1.0027886978681768,0.16032342539913733,0.1603410917442871,1.766634514976939e-05,0.18175095495204432,0.1793387563371449,-0.0024121986148994135,0.3762106528993098,0.3751635227587952,0.0010471301405146072,95,20
