study,seed,scenario,model,gate_variant,profile,coverage,n,events,ipcw_evaluable_weight,ipcw_brier,harrell_c,uno_c,auc_horizon,calibration_in_the_large,calibration_slope,mean_predicted_risk,b2_subset_ipcw_brier,b6_subset_ipcw_brier
HANCOCK,43,clean,B7,full_learned_nonnegative,100,1.0,122.0,38.0,121.33108167594078,0.12898274231663495,0.6750093388121031,0.7412224937282743,0.7688067865264986,0.3790572111752244,2.467681274063803,0.14164852063969172,0.14602695410991687,0.12898274231663495
HANCOCK,43,clean,B7,full_learned_nonnegative,90,0.9016393442622951,110.0,30.0,110.11099507170773,0.10357428785752563,0.6247165532879818,0.6896194220833607,0.6948315115655112,0.04468317774973709,2.207633394557656,0.11898090238230206,0.10653821149764407,0.0903719648424926
HANCOCK,43,clean,B7,full_learned_nonnegative,80,0.8032786885245902,98.0,26.0,100.44757952771106,0.1005106122531822,0.5654450261780105,0.6319053133705185,0.6315932266133205,-0.025273429490548113,1.3263371698289066,0.11541001829938416,0.10062107502640419,0.09370895784358248
HANCOCK,43,random_cell_dropout_10pct,B2,none,full,1.0,122.0,38.0,121.33108167594078,0.14602695410991687,0.6327979081060889,0.6596807967156807,0.690132279155643,0.36438918326351993,2.6173690173520994,0.1375878183620987,,
HANCOCK,43,random_cell_dropout_10pct,B3,none,full,1.0,122.0,38.0,121.33108167594078,0.14081457663385272,0.6473664549869257,0.6681492265190128,0.6982405679157264,0.3752240796658826,1.4440964932990268,0.1400396498825557,,
HANCOCK,43,random_cell_dropout_10pct,B4,none,full,1.0,122.0,38.0,121.33108167594078,0.13322715204965419,0.6247665296974225,0.674833110229999,0.6855309294445391,0.382705551767838,1.9970910434761433,0.13888653092488865,,
HANCOCK,43,random_cell_dropout_10pct,B5,none,full,1.0,122.0,38.0,121.33108167594078,0.13228849726442132,0.6821068360104595,0.7407279724734211,0.7622546212082959,0.3776182587362513,2.1072557839303006,0.14099782846146366,,
HANCOCK,43,random_cell_dropout_10pct,B6,none,full,1.0,122.0,38.0,121.33108167594078,0.13353254903253686,0.6555846096376541,0.7110227356593665,0.7314972007691835,0.3944163418323923,2.2060252550014923,0.13852147593286143,,
HANCOCK,43,random_cell_dropout_10pct,M0,none,full,1.0,122.0,38.0,121.33108167594078,0.14975731069388704,0.613746731415764,0.6564709233564769,0.6685501725522557,0.36121460687925416,17.677787531320302,0.13491842490673261,,
HANCOCK,43,random_cell_dropout_10pct,B7,ood_only,100,1.0,122.0,38.0,121.33108167594078,0.13353254903253686,0.6555846096376541,0.7110227356593665,0.7314972007691835,0.3944163418323923,2.2060252550014923,0.13852147593286143,0.14602695410991687,0.13353254903253686
HANCOCK,43,random_cell_dropout_10pct,B7,ood_only,90,0.9016393442622951,110.0,33.0,108.32042808439553,0.14035655455966095,0.6325511732401398,0.6240155517319798,0.6410197366878817,0.3538504784019435,1.5703770424037695,0.13524605050859745,0.14134650691015552,0.12827670205336597
HANCOCK,43,random_cell_dropout_10pct,B7,ood_only,80,0.8032786885245902,98.0,25.0,96.64965492157674,0.12392535633299127,0.692020879940343,0.7046615562162459,0.726747683083914,0.17759403916075647,3.1520993688244423,0.1331625650655706,0.12466573476304875,0.1148916278541263
HANCOCK,43,random_cell_dropout_10pct,B7,uncertainty_only,100,1.0,122.0,38.0,121.33108167594078,0.13353254903253686,0.6555846096376541,0.7110227356593665,0.7314972007691835,0.3944163418323923,2.2060252550014923,0.13852147593286143,0.14602695410991687,0.13353254903253686
HANCOCK,43,random_cell_dropout_10pct,B7,uncertainty_only,90,0.9016393442622951,110.0,31.0,109.84086602199089,0.11897497662355798,0.6164604626143088,0.6727644753692034,0.6779215462830382,0.2351798311502692,2.3069433625799998,0.11820257087477908,0.11991152550288653,0.10491445690757185
HANCOCK,43,random_cell_dropout_10pct,B7,uncertainty_only,80,0.8032786885245902,98.0,26.0,100.12990950312584,0.10600539845961084,0.6146853146853147,0.678560980687072,0.6766466217197589,0.06294677885638679,2.1431217446875697,0.11604050859025179,0.1077334301228517,0.09639295099043879
HANCOCK,43,random_cell_dropout_10pct,B7,full_equal_weight,100,1.0,122.0,38.0,121.33108167594078,0.1385177140517995,0.654090399701158,0.7077508031449891,0.7239920916887826,0.42379146870785894,2.209163098879587,0.13535051126165487,0.14602695410991687,0.13353254903253686
HANCOCK,43,random_cell_dropout_10pct,B7,full_equal_weight,90,0.9016393442622951,110.0,30.0,108.56355670849904,0.11300156931075966,0.5877777777777777,0.6387018217371424,0.635208523498544,0.0970016346904613,0.8998567478317632,0.12245736860100485,0.11214668203690627,0.10244741461240764
HANCOCK,43,random_cell_dropout_10pct,B7,full_equal_weight,80,0.8032786885245902,98.0,28.0,98.8755275527463,0.11590824168912538,0.6120514556533514,0.6736922686665024,0.6699677751837071,0.1342565913343396,1.6505545565875277,0.12158917506093907,0.11525144498934091,0.10785301974357618
HANCOCK,43,random_cell_dropout_10pct,B7,full_learned_nonnegative,100,1.0,122.0,38.0,121.33108167594078,0.13353254903253686,0.6555846096376541,0.7110227356593665,0.7314972007691835,0.3944163418323923,2.2060252550014923,0.13852147593286143,0.14602695410991687,0.13353254903253686
HANCOCK,43,random_cell_dropout_10pct,B7,full_learned_nonnegative,90,0.9016393442622951,110.0,30.0,110.11099507170773,0.10456477144607888,0.6133786848072562,0.6715114502650147,0.6771567677525812,0.040925740736961855,1.8817282728526123,0.11937071359080154,0.10653821149764407,0.09282051012620265
HANCOCK,43,random_cell_dropout_10pct,B7,full_learned_nonnegative,80,0.8032786885245902,98.0,26.0,100.44757952771106,0.09921778573472012,0.5878833208676141,0.6643000226472984,0.6574933007020919,-0.052694237998625666,1.9009706689853645,0.11895290905770266,0.10062107502640419,0.09548133887765411
HANCOCK,43,random_cell_dropout_30pct,B2,none,full,1.0,122.0,38.0,121.33108167594078,0.14602695410991687,0.6327979081060889,0.6596807967156807,0.690132279155643,0.36438918326351993,2.6173690173520994,0.1375878183620987,,
HANCOCK,43,random_cell_dropout_30pct,B3,none,full,1.0,122.0,38.0,121.33108167594078,0.14081457663385272,0.6473664549869257,0.6681492265190128,0.6982405679157264,0.3752240796658826,1.4440964932990268,0.1400396498825557,,
HANCOCK,43,random_cell_dropout_30pct,B4,none,full,1.0,122.0,38.0,121.33108167594078,0.13826725562865963,0.594882330967501,0.6545924120852374,0.6745327831956192,0.400402479385234,1.9106938547315142,0.1348525207025247,,
HANCOCK,43,random_cell_dropout_30pct,B5,none,full,1.0,122.0,38.0,121.33108167594078,0.13504304118255128,0.6567052670900262,0.7132189909741425,0.7470587928989579,0.38701550026935555,2.2606868502093196,0.13834795920623663,,
HANCOCK,43,random_cell_dropout_30pct,B6,none,full,1.0,122.0,38.0,121.33108167594078,0.13642574706836874,0.6286888307807247,0.6903383399104602,0.7211370462202783,0.4031787233755155,2.2728490660183183,0.13590102189614095,,
